,uid,zoomAct,timeElapsed,begTStamp,motionRange,actionName
0,bde81c90-6404-4a71-ae06-baaa636a7e13,0.9143840136409496,2.167,1602696913599,0.9007652302348246,zoomend
1,bde81c90-6404-4a71-ae06-baaa636a7e13,0.9143840136409496,2.167,1602696913599,0.9007652302348246,moveend
2,bde81c90-6404-4a71-ae06-baaa636a7e13,1.1820895367040194,1.138,1602696947823,1.0631392194816227,moveend
3,bde81c90-6404-4a71-ae06-baaa636a7e13,1.1819280006706983,1.032,1602696947929,1.0621459410081007,zoomend
4,bde81c90-6404-4a71-ae06-baaa636a7e13,1.0,1.773,1602696956212,5.532068419678128,moveend
5,bde81c90-6404-4a71-ae06-baaa636a7e13,1.0,1.95,1602696956565,5.721822262181869,dragend
6,bde81c90-6404-4a71-ae06-baaa636a7e13,1.072559552827993,0.973,1602696992773,0.26404734423963055,moveend
7,bde81c90-6404-4a71-ae06-baaa636a7e13,1.0724209308120498,0.5,1602696993246,0.26305892875932413,zoomend
8,bde81c90-6404-4a71-ae06-baaa636a7e13,1.2244206870926528,1.247,1602697003015,4.652859765778459,moveend
9,bde81c90-6404-4a71-ae06-baaa636a7e13,1.2241999324942194,1.058,1602697003204,4.652223769338702,zoomend
10,bde81c90-6404-4a71-ae06-baaa636a7e13,1.0,0.895,1602697011982,5.82537569603884,dragend
11,bde81c90-6404-4a71-ae06-baaa636a7e13,1.0,0.487,1602697012390,5.0918276679400645,moveend
12,bde81c90-6404-4a71-ae06-baaa636a7e13,1.146213890102569,1.214,1602697043913,0.6540489278333882,moveend
13,bde81c90-6404-4a71-ae06-baaa636a7e13,1.1460072356498177,1.096,1602697044031,0.6520191714972815,zoomend
14,bde81c90-6404-4a71-ae06-baaa636a7e13,0.9204436193124858,0.988,1602697050426,0.7928637966258787,zoomend
15,bde81c90-6404-4a71-ae06-baaa636a7e13,0.9204436193124858,0.988,1602697050426,0.7928637966258787,moveend
16,bde81c90-6404-4a71-ae06-baaa636a7e13,1.0,1.005,1602697054687,10.04307766573574,dragend
17,bde81c90-6404-4a71-ae06-baaa636a7e13,1.0,0.899,1602697055218,9.422442623863517,moveend
18,bde81c90-6404-4a71-ae06-baaa636a7e13,1.0,0.949,1602697059411,11.650389263882987,dragend
19,bde81c90-6404-4a71-ae06-baaa636a7e13,1.0,0.787,1602697059886,9.733883603166827,moveend
20,bde81c90-6404-4a71-ae06-baaa636a7e13,1.1591916752640958,0.743,1602697081393,1.5549173611481724,moveend
21,bde81c90-6404-4a71-ae06-baaa636a7e13,1.0933865725898142,0.248,1602697081888,0.8823361037609228,zoomend
22,bde81c90-6404-4a71-ae06-baaa636a7e13,1.3390830986400792,2.117,1602697097786,10.629968673519219,zoomend
23,bde81c90-6404-4a71-ae06-baaa636a7e13,1.3390830986400792,2.117,1602697097786,10.629968673519219,moveend
24,bde81c90-6404-4a71-ae06-baaa636a7e13,1.1150314725706651,1.559,1602697109070,0.5422361109332369,moveend
25,bde81c90-6404-4a71-ae06-baaa636a7e13,1.1149152288714723,1.057,1602697109571,0.5412476327892844,zoomend
26,bde81c90-6404-4a71-ae06-baaa636a7e13,0.9022719139298727,0.897,1602697116719,0.2561893830743199,zoomend
27,bde81c90-6404-4a71-ae06-baaa636a7e13,0.9022719139298727,0.897,1602697116719,0.2561893830743199,moveend
28,bde81c90-6404-4a71-ae06-baaa636a7e13,1.2525057139407596,1.644,1602697145351,4.240795797960566,moveend
29,bde81c90-6404-4a71-ae06-baaa636a7e13,1.2522798958058399,1.309,1602697145685,4.239042344681166,zoomend
30,bde81c90-6404-4a71-ae06-baaa636a7e13,1.2707323239227466,1.953,1602697157765,0.9335202193846786,zoomend
31,bde81c90-6404-4a71-ae06-baaa636a7e13,1.2707323239227466,1.953,1602697157765,0.9335202193846786,moveend
32,bde81c90-6404-4a71-ae06-baaa636a7e13,1.0,0.914,1602697168197,3.7433941817553746,dragend
33,bde81c90-6404-4a71-ae06-baaa636a7e13,1.0,0.775,1602697168636,3.718598929704577,moveend
34,bde81c90-6404-4a71-ae06-baaa636a7e13,1.0,0.754,1602697171857,2.496519577331607,moveend
35,bde81c90-6404-4a71-ae06-baaa636a7e13,1.0,0.717,1602697200536,3.1445459131645745,moveend
36,bde81c90-6404-4a71-ae06-baaa636a7e13,1.169654914383503,0.812,1602697202550,1.9964253053896124,zoomend
37,bde81c90-6404-4a71-ae06-baaa636a7e13,1.169654914383503,0.812,1602697202550,1.9964253053896124,moveend
38,bde81c90-6404-4a71-ae06-baaa636a7e13,1.0,0.835,1602697253794,6.849579549140228,dragend
39,bde81c90-6404-4a71-ae06-baaa636a7e13,1.0,0.73,1602697254132,6.336615579313612,moveend
40,bde81c90-6404-4a71-ae06-baaa636a7e13,1.1687596321559361,1.756,1602697264816,1.484004380047445,moveend
41,bde81c90-6404-4a71-ae06-baaa636a7e13,1.1686187164572444,1.292,1602697265280,1.4828030887477892,zoomend
42,bde81c90-6404-4a71-ae06-baaa636a7e13,1.1722303336567115,0.928,1602697275780,0.5398407172490799,zoomend
43,bde81c90-6404-4a71-ae06-baaa636a7e13,1.1722303336567115,0.928,1602697275780,0.5398407172490799,moveend
44,bde81c90-6404-4a71-ae06-baaa636a7e13,0.8164499162133833,1.075,1602697280064,4.798259892919513,zoomend
45,bde81c90-6404-4a71-ae06-baaa636a7e13,0.8164499162133833,1.075,1602697280064,4.798259892919513,moveend
46,bde81c90-6404-4a71-ae06-baaa636a7e13,1.238688852165449,1.059,1602696887690,4.463149112454118,moveend
47,bde81c90-6404-4a71-ae06-baaa636a7e13,1.2384655251153378,0.592,1602696888156,4.4640135528468115,zoomend
48,bde81c90-6404-4a71-ae06-baaa636a7e13,0.9474468709035548,0.604,1602696985355,0.5002409419469801,moveend
49,bde81c90-6404-4a71-ae06-baaa636a7e13,0.9475736408228461,0.508,1602696985451,0.4992494366546618,zoomend
50,bde81c90-6404-4a71-ae06-baaa636a7e13,1.092399387873142,0.682,1602696986895,1.0977695568743002,moveend
51,bde81c90-6404-4a71-ae06-baaa636a7e13,1.0922451579987267,0.464,1602696987113,1.0955386802847211,zoomend
52,bde81c90-6404-4a71-ae06-baaa636a7e13,1.0470464882640331,1.524,1602696994464,0.505664908808196,moveend
53,bde81c90-6404-4a71-ae06-baaa636a7e13,1.0466681141052054,1.059,1602696994928,0.501551592560528,zoomend
54,bde81c90-6404-4a71-ae06-baaa636a7e13,1.0848304502548993,1.042,1602697102753,2.3510978286749316,zoomend
55,bde81c90-6404-4a71-ae06-baaa636a7e13,1.0848304502548993,1.042,1602697102753,2.3510978286749316,moveend
56,bde81c90-6404-4a71-ae06-baaa636a7e13,1.0738996354518626,1.417,1602697207533,0.23020860105564883,zoomend
57,bde81c90-6404-4a71-ae06-baaa636a7e13,1.0738996354518626,1.417,1602697207533,0.23020860105564883,moveend
58,bde81c90-6404-4a71-ae06-baaa636a7e13,0.9098734084419597,0.672,1602697278520,0.189736659610103,zoomend
59,bde81c90-6404-4a71-ae06-baaa636a7e13,0.9098734084419597,0.673,1602697278520,0.189736659610103,moveend
60,bde81c90-6404-4a71-ae06-baaa636a7e13,0.9314873215716643,1.253,1602696889447,1.4463529997894722,moveend
61,bde81c90-6404-4a71-ae06-baaa636a7e13,0.9316229451987841,0.899,1602696889801,1.4436471175463916,zoomend
62,bde81c90-6404-4a71-ae06-baaa636a7e13,1.0875494128684753,0.395,1602696912008,1.4093335304320218,zoomend
63,bde81c90-6404-4a71-ae06-baaa636a7e13,1.0875494128684753,0.396,1602696912008,1.4093335304320218,moveend
64,bde81c90-6404-4a71-ae06-baaa636a7e13,1.0,0.66,1602696920164,12.009392865586506,moveend
65,bde81c90-6404-4a71-ae06-baaa636a7e13,1.0745878446302326,0.473,1602696924712,1.326335176341186,zoomend
66,bde81c90-6404-4a71-ae06-baaa636a7e13,1.0745878446302326,1.381,1602696924712,9.181315210796328,moveend
67,bde81c90-6404-4a71-ae06-baaa636a7e13,1.0317323313875701,0.975,1602696927700,0.2415719354560879,moveend
68,bde81c90-6404-4a71-ae06-baaa636a7e13,1.0316092428843169,0.783,1602696927892,0.24018534509832185,zoomend
69,bde81c90-6404-4a71-ae06-baaa636a7e13,1.3191698223113508,1.188,1602696936418,7.730816903794835,zoomend
70,bde81c90-6404-4a71-ae06-baaa636a7e13,1.3191698223113508,1.189,1602696936418,7.730816903794835,moveend
71,bde81c90-6404-4a71-ae06-baaa636a7e13,1.1968541474551555,1.726,1602697046109,2.1535331434644776,moveend
72,bde81c90-6404-4a71-ae06-baaa636a7e13,1.1966658845957192,1.24,1602697046595,2.1515447938632333,zoomend
73,bde81c90-6404-4a71-ae06-baaa636a7e13,1.0,1.78,1602697092265,22.565707655644214,moveend
74,bde81c90-6404-4a71-ae06-baaa636a7e13,1.0,1.876,1602697092727,25.677004985005553,dragend
75,bde81c90-6404-4a71-ae06-baaa636a7e13,0.8541614090200005,0.723,1602697095222,8.392012511906783,moveend
76,bde81c90-6404-4a71-ae06-baaa636a7e13,0.8542943043331995,0.375,1602697095570,8.38420353999114,zoomend
77,bde81c90-6404-4a71-ae06-baaa636a7e13,1.0702535545832228,0.784,1602697151552,1.0022539598325386,moveend
78,bde81c90-6404-4a71-ae06-baaa636a7e13,1.070099490342079,0.383,1602697151953,1.0000499987500653,zoomend
79,bde81c90-6404-4a71-ae06-baaa636a7e13,1.1035829053447124,0.956,1602697152899,0.9388956278522075,zoomend
80,bde81c90-6404-4a71-ae06-baaa636a7e13,1.1035829053447124,0.956,1602697152899,0.9388956278522075,moveend
81,bde81c90-6404-4a71-ae06-baaa636a7e13,0.8552927122522305,2.629,1602697161148,0.5309048879036656,zoomend
82,bde81c90-6404-4a71-ae06-baaa636a7e13,0.8552927122522305,2.629,1602697161148,0.5309048879036656,moveend
83,bde81c90-6404-4a71-ae06-baaa636a7e13,1.0898793440784538,1.206,1602697209718,0.4707717068813626,zoomend
84,bde81c90-6404-4a71-ae06-baaa636a7e13,1.0898793440784538,1.206,1602697209718,0.4707717068813626,moveend
85,bde81c90-6404-4a71-ae06-baaa636a7e13,1.0,0.822,1602697227601,26.89131086429221,dragend
86,bde81c90-6404-4a71-ae06-baaa636a7e13,1.0,0.66,1602697227930,25.10824764893002,moveend
87,bde81c90-6404-4a71-ae06-baaa636a7e13,1.0,0.796,1602697260480,11.15862715570334,dragend
88,bde81c90-6404-4a71-ae06-baaa636a7e13,1.080961242002064,0.802,1602697263133,1.86247281859361,moveend
89,bde81c90-6404-4a71-ae06-baaa636a7e13,1.0808203617301955,0.5,1602697263435,1.8588953709125264,zoomend
90,bde81c90-6404-4a71-ae06-baaa636a7e13,0.8642209237162021,3.01,1602696960261,1.0906190902418658,moveend
91,bde81c90-6404-4a71-ae06-baaa636a7e13,0.8643208553555086,2.704,1602696960567,1.089861000311507,zoomend
92,bde81c90-6404-4a71-ae06-baaa636a7e13,1.0897721519841934,0.558,1602697007016,0.6070296533119313,zoomend
93,bde81c90-6404-4a71-ae06-baaa636a7e13,1.0897721519841934,0.558,1602697007016,0.6070296533119313,moveend
94,bde81c90-6404-4a71-ae06-baaa636a7e13,1.0,0.901,1602697090803,20.97539630138129,dragend
95,bde81c90-6404-4a71-ae06-baaa636a7e13,1.201585367061381,1.237,1602697105968,3.5692912461719906,zoomend
96,bde81c90-6404-4a71-ae06-baaa636a7e13,1.201585367061381,1.237,1602697105968,3.5692912461719906,moveend
97,bde81c90-6404-4a71-ae06-baaa636a7e13,0.7734934263549065,2.266,1602697112436,1.7130697592334088,zoomend
98,bde81c90-6404-4a71-ae06-baaa636a7e13,0.7734934263549065,2.267,1602697112436,1.7130697592334088,moveend
99,bde81c90-6404-4a71-ae06-baaa636a7e13,0.8392652408534469,0.94,1602697198114,1.6092930124747384,moveend
100,bde81c90-6404-4a71-ae06-baaa636a7e13,0.8393593474977152,0.927,1602697198126,1.6083734019188467,zoomend
101,bde81c90-6404-4a71-ae06-baaa636a7e13,1.3831919002855868,0.929,1602697249427,3.1687065184393393,zoomend
102,bde81c90-6404-4a71-ae06-baaa636a7e13,1.3831919002855868,0.93,1602697249427,3.1687065184393393,moveend
103,bde81c90-6404-4a71-ae06-baaa636a7e13,1.0,1.629,1602697257751,19.142037221779713,dragend
104,bde81c90-6404-4a71-ae06-baaa636a7e13,1.0,1.953,1602697257899,21.09191193325062,moveend
105,bde81c90-6404-4a71-ae06-baaa636a7e13,0.8791694246473635,0.822,1602697268444,1.1564099619079733,zoomend
106,bde81c90-6404-4a71-ae06-baaa636a7e13,0.8791694246473635,0.822,1602697268444,1.1564099619079733,moveend
